"Home","Home"
"You have not set a default billing address.","Geen standaard factuuradres ingesteld."
"You have not set a default shipping address.","Geen standaard verzendadres ingesteld."
"Ship To","Verzonden naar"
"Contact Us","Contact"
"Store Catalog","Webshop"
"Search entire store here...","Doorzoek de hele winkel"
"My Account","Account"
"Mijn account","Account"
"Sign Up for Our Newsletter:","Aanmelden nieuwsbrief"
"Fast and easy check out",""
"Easy access to your order history and status",""
"Confirm Password","Bevestig wachtwoord"
"The subscription has been removed.","Uw abonnement is verwijderd."
"Order Status","Status"
"Subtotal after discount","Subtotaal na kosten"
"Discount ","Kosten "
"Discount","Kosten"
"Discount%s","Kosten %s"
"Discount (%s)","Kosten (%s)"
"Discount :","Kosten :"
"Discount Amount","Kosten"
"As low as:","Vanaf"
"Proceed to Checkout","Afrekenen"
"Continue Shopping","Verder winkelen"
"Additional Information","Specificaties"
"Already registered? Click here to login.","Heeft u al een account? Klik dan hier om in te loggen."
