"ING Kassa Compleet - Settings","ING Kassa Compleet - Instellingen"
"API Key","API Key"
"ING Kassa Compleet - iDEAL","ING Kassa Compleet - iDEAL"
"ING Kassa Compleet - Banktransfer","ING Kassa Compleet - Bankoverboeking"
"ING Kassa Compleet - Mastercard, VISA, Maestro of V PAY","ING Kassa Compleet - Mastercard, VISA, Maestro of V PAY"
"Enabled","Enabled"
"Description","Omschrijving"

"Choose your bank:","Kies uw bank:"

"Payment is pending","Betaling in verwerking"
"Payment is completed","Betaling afgerond"
"Payment is cancelled","Betaling is geannuleerd"
"Payment failed with an error","Betaling mislukt door een fout"
"Amounts don't match. Possible fraud","Bedragen komen niet overheen, mogelijk fraude"

"Your order has been received.", "Uw bestelling is ontvangen."
"Thank you for your purchase!","Dank voor uw aankoop!"
"Payment instructions:","Betaal instructies:"
"Please use the following data to make the banktransfer", "Gebuikt u de volgende gegevens voor de overboeking"
"ING processes the payments for", "ING verwerkt de betaling voor"
"(!) Don't forget to use the reference in your payment. Without the reference the processing of your payment can take more time!", "(!) Vergeet u niet het juiste betaalkenmerk te vermelden. Zonder het juiste betaalkenmerk kan de verwerking van uw betaling meer tijd kosten."

"Amount:","Bedrag:"
"Reference:","Kenmerk:"
"Account number:","Rekeningnummer:"
"IBAN:","IBAN:"
"BIC:","BIC:"
"Account holder:","Rekeninghouder:"
"City:","Woonplaats:"
