"Latest Tweets","Latest Tweets"
"about","about"
"days ago","days ago"
"hours ago","hours ago"
"minutes ago","minutes ago"
"seconds ago","seconds ago"
"Flickr Stream","Flickr Stream"
"Email address","Email address"
"Join","Join"
"Enter your e-mail Address","Enter your e-mail Address"
"SEARCH","SEARCH"
"Cart %s items for %s","Cart %s items for %s"
"Cart %s item for %s","Cart %s item for %s"
"Shopping Cart","Shopping Cart"
"Catalog Category Search","Catalog Category Search"
"Search","Search"
"Search entire store here...","Search here..."
"Select Category On Category Pages","Select Category On Category Pages"
"Show Subcategories","Show Subcategories"
"Subcategory Indentation","Subcategory Indentation"
"Be the First to Know","Be the First to Know"
"Submit","Submit"
"You've just added this product to the cart:","You've just added this product to the cart:"
"Clear Shopping Cart","Winkelwagen leegmaken"
"Cart Totals","Totaal"
"All Categories","Alle categorieën"
"Buy now","In Winkelwagen"
"Enter your e-mail Address","Schrijf u in voor de nieuwsbrief"
"Availability", "Beschikbaarheid"
"Additional","Details"
"Sort By","Sorteren"
"View Cart","Winkelwagen"
"Leave","Stuur ons een bericht"
"Details",""
"Currently Shopping by","Gekozen filter"
"Also Purchased","Klanten keken ook naar"
"Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling","Vul eerst uw adres in, voordat u een verzending kunt selecteren"
